City,Median Housing Price YTD,State
ALBEMARLE,155083.33333333334,NC
JEFFERSON,216800.0,GA
LACONIA,244200.0,NH
BATAVIA,,NY
OXFORD,198416.66666666666,NC
NORWALK,100033.33333333333,OH
SANFORD,146950.0,NC
TIFFIN,73966.66666666667,OH
CROSSVILLE,152850.0,TN
SONORA,,CA
CARSON CITY,325116.6666666667,NV
CALHOUN,140166.66666666666,GA
JASPER,149150.0,IN
ONTARIO,169266.66666666666,OR
PAYSON,226816.66666666666,AZ
ROCHELLE,124433.33333333333,IL
GREENVILLE,106933.33333333333,OH
WARRENSBURG,182516.66666666666,MO
FORT POLK SOUTH,154766.66666666666,LA
ATHENS,126583.33333333333,TN
EDWARDS,671516.6666666666,CO
DURANGO,374500.0,CO
BOONE,274500.0,NC
BARTLESVILLE,119616.66666666667,OK
ELKO,249783.33333333334,NV
ST. MARYS,152583.33333333334,GA
NEW CASTLE,109500.0,IN
CORTLAND,116516.66666666667,NY
NORFOLK,149516.66666666666,NE
FREEPORT,96366.66666666667,IL
KENDALLVILLE,147183.33333333334,IN
NOGALES,,AZ
GARDNERVILLE RANCHOS,421800.0,NV
MADISONVILLE,98133.33333333333,KY
CA̱ON CITY,200166.66666666666,CO
RUSTON,189250.0,LA
HILLSDALE,124166.66666666667,MI
RED WING,188833.33333333334,MN
NEWPORT,288716.6666666667,OR
WAPAKONETA,124900.0,OH
HUNTINGDON,107300.0,PA
BLACKFOOT,180416.66666666666,ID
MOULTRIE,87666.66666666667,GA
HARRISON,120516.66666666667,AR
SHELBYVILLE,157633.33333333334,TN
MARION,150533.33333333334,NC
LEWISBURG,168383.33333333334,PA
PULLMAN,250216.66666666666,WA
BEMIDJI,154700.0,MN
MOUNT STERLING,133733.33333333334,KY
PAHRUMP,241233.33333333334,NV
BARDSTOWN,151700.0,KY
CORNELIA,165866.66666666666,GA
BIG RAPIDS,103866.66666666667,MI
MUSCATINE,132833.33333333334,IA
ALMA,,MI
DURANT,136100.0,OK
WILLMAR,145283.33333333334,MN
AUBURN,126900.0,IN
PARAGOULD,125816.66666666667,AR
WILMINGTON,124316.66666666667,OH
LAWRENCEBURG,110250.0,TN
MOUNTAIN HOME,132183.33333333334,AR
CEDARTOWN,103800.0,GA
PORT CLINTON,129633.33333333333,OH
MONTROSE,249066.66666666666,CO
ELLENSBURG,315533.3333333333,WA
CELINA,142116.66666666666,OH
GARDEN CITY,166100.0,KS
MARSHALLTOWN,120183.33333333333,IA
TIFTON,117583.33333333333,GA
URBANA,128516.66666666667,OH
OKEECHOBEE,144366.66666666666,FL
MCMINNVILLE,103533.33333333333,TN
BERLIN,108833.33333333333,NH
AUSTIN,106783.33333333333,MN
CLEWISTON,137050.0,FL
DEFIANCE,96766.66666666667,OH
SCOTTSBLUFF,129666.66666666667,NE
UNION CITY,76416.66666666667,TN
CRAWFORDSVILLE,126516.66666666667,IN
EASTON,310783.3333333333,MD
NORTH PLATTE,152366.66666666666,NE
MOSCOW,234733.33333333334,ID
SAFFORD,143716.66666666666,AZ
MURRAY,137366.66666666666,KY
COSHOCTON,95450.0,OH
NEWTON,112583.33333333333,IA
FREMONT,151450.0,NE
HUTCHINSON,176983.33333333334,MN
OWATONNA,171466.66666666666,MN
VIDALIA,116716.66666666667,GA
DIXON,93250.0,IL
LEBANON,,MO
SENECA FALLS,101450.0,NY
MARTIN,84216.66666666667,TN
EFFINGHAM,126950.0,IL
ANGOLA,166000.0,IN
DODGE CITY,133216.66666666666,KS
BREVARD,244366.66666666666,NC
PARIS,96000.0,TN
BROOKINGS,,SD
DAYTON,129816.66666666667,TN
JUNEAU,368583.3333333333,AK
LEWISBURG,164450.0,TN
WASHINGTON COURT HOUSE,108766.66666666667,OH
MERRILL,125650.0,WI
CRESCENT CITY,227150.0,CA
FORT MORGAN,236166.66666666666,CO
BRECKENRIDGE,602733.3333333334,CO
HAILEY,,ID
MOUNTAIN HOME,184700.0,ID
TOCCOA,102683.33333333333,GA
SUMMERVILLE,54733.333333333336,GA
LA GRANDE,206650.0,OR
THE DALLES,238216.66666666666,OR
FALLON,,NV
DICKINSON,226666.66666666666,ND
STEAMBOAT SPRINGS,451700.0,CO
MARYVILLE,123183.33333333333,MO
STERLING,155866.66666666666,CO
YANKTON,180533.33333333334,SD
WILLISTON,240900.0,ND
BROOKINGS,311716.6666666667,OR
HOOD RIVER,421750.0,OR
PRINEVILLE,,OR
CARROLL,143866.66666666666,IA
STORM LAKE,114600.0,IA
WOODWARD,121016.66666666667,OK
SPENCER,129216.66666666667,IA
